Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Crusader of Centy,Sega Genesis,16/06/1994,NA,Atlus USA,Nextech,,Action Adventure,,,,,Crusader of Centy,,,,,,,,,,,
OutRunners,Sega Genesis,14/06/1994,NA,Sega,Sega AM1,Out Run,Racing,,,,,OutRunners,,,,,,,,,,,
Zelda's Adventure,Philips CD-i,05/06/1994,NA,Philips,Viridis,The Legend of Zelda,Action Adventure,,,,,Zelda's Adventure,,,,,,,,,,,
Wing War,Arcade,01/06/1994,JP,Sega,Sega AM1,,Flight Simulation,,,,,Wing War,,,,,,,,,,,
The Twisted Tales of Spike McFang,SNES,01/06/1994,NA,Naxat Soft,Bullet Proof Software,Dorabocchan,Action RPG,,,,,,,,,,,,,,,,
Kurokishi no Kamen,3DO,28/05/1994,JP,Matsushita Electric,Hummingbird Soft,Ghost Hunter,Survival Horror,,,,,Kurokishi no Kamen,,,,,,,,,,,
Sword Dancer: Goddess of the Evil Blade,NEC PC-9801,26/05/1994,JP,TGL,TGL,Sword Dancer,Action RPG,,,,,Sword Dancer: Goddess of the Evil Blade,,,,,,,,,,,
Madō Monogatari II: Arle 16-Sai,Sega Game Gear,20/05/1994,JP,Sega,Compile,Madō Monogatari,Turn-Based RPG,,,,,Madō Monogatari II: Arle 16-sai,,,,,,,,,,,
Doctor Hauzer,3DO,29/04/1994,JP,Panasonic,Riverhillsoft,,Survival Horror,,,,,Doctor Hauzer,,,,,,,,,,,
Shin Nekketsu Kōha: Kunio-tachi no Banka,SNES,29/04/1994,JP,Technōs Japan,Almanic,Kunio-kun,Beat 'em Up,,,,,,,,,,,,,,,,
Faladia,NEC PC-9801,28/04/1994,JP,Kinpukurin,Kinpukurin,,Turn-Based RPG,,,,,Faladia,,,,,,,,,,,
GB Genjin Land: Viva! Chikkun Ōkoku,Game Boy,22/04/1994,JP,Hudson Soft,AI,Bonk,Side-Scrolling Platformer,,,,,GB Genjin Land: Viva! Chikkun Ōkoku,,,,,,,,,,,
Dream Maze: Kigurumi Daibōken,SNES,15/04/1994,JP,Hect,Axes Art Amuse,,Turn-Based RPG,,,,,,,,,,,,,,,,
Vay,Sega CD,14/04/1994,NA,Working Designs,Hertz Company,,Turn-Based RPG,,,,,Vay,,,,,,,,,,,
Hamsters,Acorn Archimedes,08/04/1994,EU,Eclipse,GamesWare,,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
Hotel Mario,Philips CD-i,05/04/1994,NA,Philips Interactive Media,Philips Fantasy Factory,Mario,Puzzle,,,,,Hotel Mario,,,,,,,,,,,
Lethal Enforcers II: Gun Fighters,Arcade,01/04/1994,NA,Konami,Konami,Lethal Enforcers,Rail Shooter,,,,,Lethal Enforcers II: Gun Fighters,,,,,,,,,Lethal Enforcers II: Gun Fighters (ver EAA),,
Raptor: Call of the Shadows,PC,01/04/1994,NA,Apogee Software,Cygnus Studios,,Scrolling Shooter,,,,,Raptor: Call of the Shadows,,,,,,,,,,,
Monster World IV,Sega Genesis,01/04/1994,JP,Sega,Westone,Wonder Boy,Adventure Platformer,,,,,Monster World IV,,,,,,,,,,,
Joe & Mac 2: Lost in the Tropics,SNES,01/04/1994,NA,Data East,Data East,Joe & Mac,Action Platformer,,,,,Joe & Mac 2: Lost in the Tropics,,,,,,,,,,,
Legend,SNES,01/04/1994,NA,Seika Corporation,Arcade Zone,,Beat 'em Up,,,,,Legend,,,,,,,,,,,
SOS,SNES,01/04/1994,NA,Vic Tokai,Human Entertainment,Septentrion,Action Adventure,,,,,,,,,,,,,,,,
Wing Commander III: Heart of the Tiger,PC,27/03/1994,NA,Origin Systems,Origin Systems,Wing Commander,Space Combat,,,,,Wing Commander III: Heart of the Tiger,,,,,,,,,,,
The Elder Scrolls: Arena,PC,25/03/1994,NA,Bethesda Softworks,Bethesda Softworks,The Elder Scrolls,Action RPG,,,,,The Elder Scrolls: Arena,,,,,,,,,,,
Melfand Stories,SNES,25/03/1994,JP,ASCII Entertainment,Sting,,Beat 'em Up,,,,,,,,,,,,,,,,
Nangoku Shōnen Papuwa-Kun,SNES,25/03/1994,JP,Enix,Daft,,Action Platformer,,,,,,,,,,,,,,,,
Super Robot Taisen EX,SNES,25/03/1994,JP,Banpresto,Winkysoft,Super Robot Wars,Strategy RPG,,,,,Super Robot Taisen EX,,,,,,,,,,,
The Blue Crystal Rod,SNES,25/03/1994,JP,Namco,Game Studio,The Tower of Druaga,Action Adventure,,,,,,,,,,,,,,,,
Ultraman Powered,3DO,20/03/1994,JP,Bandai,TOSE,Ultraman,Fighting,,,,,,,,,,,,,,,,
Possessioner,NEC PC-9801,18/03/1994,JP,Queen Soft,Queen Soft,,Adventure,,,,,Possessioner,,,,,,,,,,,Possessioner
Sonic Drift,Sega Game Gear,18/03/1994,JP,Sega,Sega,Sonic the Hedgehog,Racing,,,,,Sonic Drift,,,,,,,,,,,
Shin Megami Tensei II,SNES,18/03/1994,JP,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,,,Shin Megami Tensei II,,,,,,,,,,,
The Peace Keepers,SNES,17/03/1994,NA,Jaleco Entertainment,Jaleco Entertainment,Rushing Beat,Beat 'em Up,,,,,The Peace Keepers,,,,,,,,,,,
