Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
It Takes Two,PC,26/03/2021,NA,Electronic Arts,Hazelight Studios,,Action Adventure,,,,It Takes Two,It Takes Two,,,,,,,,It Takes Two,,,
Doom Eternal: The Ancient Gods - Part Two,PC,18/03/2021,NA,Bethesda Softworks,id Software,Doom,First-Person Shooter,,,,DOOM Eternal: The Ancient Gods Part Two,Doom Eternal: The Ancient Gods - Part Two,,,,,,,,,,,
Mortal Shell: Enhanced Edition,Xbox Series X|S,04/03/2021,NA,Playstack,Cold Symmetry,,Action RPG,,,,,,,,,,,,,,,,
Persona 5 Strikers,PlayStation 4,23/02/2021,NA,Atlus,Omega Force,Megami Tensei,Action RPG,,,,Persona 5 Strikers,,,,,,,Persona 5 Strikers,,,,,
Gal*Gun Returns,Nintendo Switch,12/02/2021,NA,PQube,Inti Creates,Gal*Gun,Rail Shooter,,,,Gal*Gun Returns,,,,,,,Gal Gun Returns,,,,,
Super Mario 3D World + Bowser's Fury,Nintendo Switch,12/02/2021,NA,Nintendo,Nintendo EPD,Mario,3D Platformer,,,,Super Mario 3D World + Bowser's Fury,,,,,,Super Mario 3D World + Bowser's Fury,Super Mario 3D World + Bowser's Fury,,,,,
Ys IX: Monstrum Nox,PlayStation 4,02/02/2021,NA,NIS America,Nihon Falcom,Ys,Action RPG,,,,Ys IX: Monstrum Nox,Ys IX: Monstrum Nox,,,,,,Ys IX: Monstrum Nox [Pact Edition],,,,,
The Medium,Xbox Series X|S,28/01/2021,NA,Bloober Team,Bloober Team,,Survival Horror,,,,The Medium,The Medium,,,,,,,,,,,
Atelier Ryza 2: Lost Legends & the Secret Fairy,Nintendo Switch,26/01/2021,NA,Koei Tecmo,Gust Co. Ltd.,Atelier,Turn-Based RPG,,,,Atelier Ryza 2: Lost Legends & the Secret Fairy,Atelier Ryza 2: Lost Legends & the Secret Fairy,,,,,,Atelier Ryza 2: Lost Legends & the Secret Fairy,,,,,
Cyber Shadow,PC,26/01/2021,NA,Yacht Club Games,"Aarne ""MekaSkull"" Hunziker",,Action Platformer,,,,Cyber Shadow,Cyber Shadow,,,,,,,,,,,
Hitman 3,PC,20/01/2021,NA,IO Interactive,IO Interactive,Hitman,Stealth Action,,,,Hitman 3,,,,,,,,,,,,
Scott Pilgrim vs. The World: The Game - Complete Edition,PC,14/01/2021,NA,Ubisoft,Ubisoft Montreal,Scott Pilgrim,Beat 'em Up,,,,Scott Pilgrim vs. the World: The Game - Complete Edition,Scott Pilgrim vs. The World: The Game - Complete Edition,,,,,,,,,,,
Sunlight,PC,14/01/2021,NA,Krillbite Studio,Krillbite Studio,,Adventure,,,,Sunlight,Sunlight,,,,,,,,,,,
Sense: A Cyberpunk Ghost Story,Nintendo Switch,07/01/2021,AS,Top Hat Studios,Suzaku,,Survival Horror,,,,,Sense: A Cyberpunk Ghost Story (Limited Edition),,,,,,Sense: A Cyberpunk Ghost Story,,,,,
Earth Defense Force: World Brothers,Nintendo Switch,24/12/2020,AS,D3 Publisher,Yuke's,Earth Defense Force,Third-Person Shooter,,,,,Earth Defense Force: World Brothers,,,Earth Defense Force: World Brothers,,,Earth Defense Force: World Brothers,,Earth Defense Force: World Brothers,,,
Super Meat Boy Forever,PC,23/12/2020,NA,Team Meat,Team Meat,Meat Boy,Side-Scrolling Platformer,,,,Super Meat Boy Forever,Super Meat Boy Forever,,,Super Meat Boy Forever,,,,,,,,
Override 2: Super Mech League,PC,22/12/2020,NA,Modus Games,Modus Studios Brazil,Override,Fighting,,,,Override 2: Super Mech League,Override 2: Super Mech League,,,,,,,,,,,
Wattam,PC,18/12/2020,NA,Annapurna Interactive,Funomena,,Action Adventure,,,,Wattam,Wattam,,,Wattam,,,,,Wattam,,,
Wonderful Dizzy,ZX Spectrum,18/12/2020,NA,Team Yolkfolk,Evgeniy Barskiy,Dizzy,Adventure Platformer,,,,,,,,,,,,,,,,
Abyss of the Sacrifice,Nintendo Switch,17/12/2020,JP,D3 Publisher,Intense,,Visual Novel,,,,,Abyss of the Sacrifice,,,Abyss of the Sacrifice,,,,,,,,Misshitsu no Sacrifice
Touhou Luna Nights,Nintendo Switch,17/12/2020,JP,Playism,Team Ladybug,Touhou,Metroidvania,,,,,Touhou Luna Nights,,,Touhou Luna Nights,,,Touhou Luna Nights,,,,,
Calico,PC,15/12/2020,NA,Whitethorn Digital,Peachy Keen Games,,Simulation,,,,Calico,Calico,,,,,,,,,,,
Space Invaders: Invincible Collection,Nintendo Switch,11/12/2020,EU,Strictly Limited Games,Gotch Technology,Space Invaders,Compilation,,,,Space Invaders: Invincible Collection,Space Invaders: Invincible Collection,,,,,,Space Invaders Invincible Collection,,,,,
Dokapon Up! Mugen no Roulette,Nintendo Switch,10/12/2020,JP,Aquaplus,Aquaplus,Dokapon,Board Game,,,,,Dokapon UP! Mugen no Roulette,,,,,,Dokapon UP! Mugen no Roulette,,,,,
PixelJunk Eden 2,Nintendo Switch,10/12/2020,NA,Q-Games,Q-Games,PixelJunk,Puzzle,,,,PixelJunk Eden 2,PixelJunk Eden 2,,,,,,,,PixelJunk Eden 2,,,
Tanuki Justice,Nintendo Switch,10/12/2020,NA,No Gravity Games,Wonderboy Bobi,,Action Platformer,,,,Tanuki Justice,Tanuki Justice,,,Tanuki Justice,,,,,Tanuki Justice,,,
Morkredd,PC,10/12/2020,NA,Aspyr,Hyper Games,,Puzzle,,,,Morkredd,,,,Morkredd,,,,,Morkredd,,,
Shady Part of Me,PC,10/12/2020,NA,Focus Entertainment,Douze Dixièmes,,Side-Scrolling Platformer,,,,Shady Part of Me,Shady Part of Me,,,Shady Part of Me,,,,,,,,
Monster Sanctuary,PC,08/12/2020,NA,Team17,moi rai games,,Turn-Based RPG,,,,Monster Sanctuary,Monster Sanctuary,,,Monster Sanctuary,,,,,,,,
Puyo Puyo Tetris 2,PlayStation 5,08/12/2020,NA,Sega,Sega,Puyo Puyo,Puzzle,,,,Puyo Puyo Tetris 2,Puyo Puyo Tetris 2,,,,,,Puyo Puyo Tetris 2,,Puyo Puyo Tetris 2,,,
Elephantasy,PC,07/12/2020,NA,Benjamin Maksym,Benjamin Maksym,,Puzzle Platformer,,,,,Elephantasy,,,Elephantasy,,,,,,,,
Lycanthorn II: Rain of Beasts,PC,05/12/2020,NA,Scumhead,Scumhead,Lycanthorn,First-Person Shooter,,,,,Lycanthorn II: Rain of Beasts,,,,,,,,,,,
Final Fantasy VII / Final Fantasy VIII Remastered Twin Pack,Nintendo Switch,04/12/2020,EU,Square Enix,Square Enix,Final Fantasy,Turn-Based RPG,,,,,,,,,,,,,,,,
Fire Emblem: Shadow Dragon & the Blade of Light,Nintendo Switch,04/12/2020,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,,Fire Emblem: Shadow Dragon & the Blade of Light,Fire Emblem: Shadow Dragon & the Blade of Light,,,,,,,,,,,
Fitness Boxing 2: Rhythm & Exercise,Nintendo Switch,04/12/2020,NA,Nintendo,Jupiter Corporation,Fitness Boxing,Sports,,,,Fitness Boxing 2: Rhythm & Exercise,Fitness Boxing 2: Rhythm & Exercise,,,Fitness Boxing 2: Rhythm & Exercise,,Fitness Boxing 2: Rhythm & Exercise,Fitness Boxing 2: Rhythm & Exercise,,Fitness Boxing 2: Rhythm & Exercise,,,
The Corridor,PC,04/12/2020,NA,Thomas Mackinnon,Thomas Mackinnon,,Adventure,,,,,The Corridor,,,The Corridor,,,,,,,,
Arise: A Simple Story,PC,03/12/2020,NA,Untold Tales,Piccolo Studio,,Action Adventure,,,,Arise: A Simple Story,,,,Arise: A Simple Story,,,,,Arise: A Simple Story,,,
El Hijo: A Wild West Tale,PC,03/12/2020,NA,HandyGames,Honig Studios,,Stealth Action,,,,El Hijo - A Wild West Tale,El Hijo: A Wild West Tale,,,El Hijo: A Wild West Tale,,,,,,,,
Morbid: The Seven Acolytes,PC,03/12/2020,NA,Merge Games,Still Running,Morbid,Action RPG,,,,Morbid: The Seven Acolytes,Morbid: The Seven Acolytes,,,Morbid: The Seven Acolytes,,,,,,,,
Per Aspera,PC,03/12/2020,NA,Raw Fury,Tlön Industries,,Simulation,,,,Per Aspera,Per Aspera,,,Per Aspera,,,,,,,,
Chronos: Before the Ashes,PC,01/12/2020,NA,THQ Nordic,Gunfire Games,Remnant,Action RPG,,,,Chronos: Before the Ashes,Chronos: Before the Ashes,,,Chronos: Before the Ashes,,,,,,,,
Project Wingman,PC,01/12/2020,NA,Humble Games,Sector D2,,Flight Simulation,,,,Project Wingman: Frontline 59,Project Wingman,,,Project Wingman,,,,,,,,
Pixross,PC,30/11/2020,NA,Kenney,Kenney,,Puzzle,,,,,Pixross,,,Pixross,,,,,,,,
Khimera: Puzzle Island,PC,29/11/2020,NA,Suits & Sandals,Suits & Sandals,Khimera,Puzzle,,,,,,,,Khimera: Puzzle Island,,,,,,,,
Tabe-O-Ja,Nintendo Switch,28/11/2020,JP,Bandai Namco Games,Dimps Corporation,,Simulation,,,,,,,,,,,,,,,,
Hinge,PC,28/11/2020,NA,Arcadia,Arcadia,,Adventure,,,,,Hinge,,,,,,,,,,,
Picross S5,Nintendo Switch,26/11/2020,NA,Jupiter,Jupiter,Picross,Puzzle,,,,Picross S 5,Picross S5,,,Picross S5,,,,,PICROSS S5,,,
Root Double: Before Crime * After Days: Xtend Edition,Nintendo Switch,26/11/2020,NA,Sekai Project,Regista,,Visual Novel,,,,Root Double: Before Crime * After Days - Xtend Edition,,,,,,,Root Double -Before Crime After Days- Xtend Edition,,,,,
Hiveswap: Act 2,PC,25/11/2020,NA,What Pumpkin Games,What Pumpkin Games,Homestuck,Adventure,,,,,Hiveswap: Act 2,,,HIVESWAP: ACT 2,,,,,,,,
Is It Wrong to Try to Shoot 'em Up Girls in a Dungeon?,PC,25/11/2020,NA,PQube,Mages,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Scrolling Shooter,,,,,,,,Is It Wrong to Try to Shoot 'em Up Girls in a Dungeon?,,,,,,,,
Star Renegades,Nintendo Switch,19/11/2020,NA,Raw Fury,Massive Damage,,Strategy RPG,,,,Star Renegades,Star Renegades,,,Star Renegades,,,Star Renegades,,,,,
80's Overdrive,PC,19/11/2020,NA,Insane Code,Insane Code,,Racing,,,,,80's Overdrive,,,80's Overdrive,,,,,,,,
Five Dates,PC,17/11/2020,NA,Wales Interactive,Good Gate Media,,FMV,,,,Five Dates,Five Dates,,,Five Dates,,,,,,,,
Kingdom Hearts: Melody of Memory,Nintendo Switch,13/11/2020,NA,Square Enix,indieszero,Kingdom Hearts,Rhythm,,,,Kingdom Hearts: Melody of Memory,Kingdom Hearts: Melody of Memory,,,Kingdom Hearts: Melody of Memory,,,Kingdom Hearts: Melody of Memory,,Kingdom Hearts: Melody of Memory,,,
Metaverse Keeper,Nintendo Switch,12/11/2020,NA,Circle Entertainment,Circle Entertainment,,Roguelike,,,,,Metaverse Keeper,,,Metaverse Keeper,,,Metaverse Keeper,,Metaverse Keeper,,,
No Man's Sky,PlayStation 5,12/11/2020,NA,Hello Games,Hello Games,,Action Adventure,,,,No Man's Sky,No Man's Sky,,,No Man's Sky,,,No Man's Sky,,No Man's Sky,,,
The Pathless,PlayStation 5,12/11/2020,NA,Annapurna Interactive,Giant Squid,,Action Adventure,,,,The Pathless,The Pathless,,,,,,Pathless,,,,,
Yakuza: Like a Dragon,PlayStation 4,10/11/2020,NA,Sega,Ryu Ga Gotoku Studio,Yakuza,Turn-Based RPG,,,,Yakuza: Like a Dragon,Yakuza: Like a Dragon,,,Yakuza: Like a Dragon,,Yakuza: Like a Dragon,Yakuza: Like A Dragon [Day Ichi Steelbook Edition],,,,,
The Falconeer,Xbox Series X|S,10/11/2020,NA,Wired Productions,Tomas Sala,,Flight Simulation,,,,The Falconeer,The Falconeer,,,,,,,,,,,
The Witch & The 66 Mushrooms,PC,07/11/2020,NA,Gotcha Gotcha Games,Gotcha Gotcha Games,,Metroidvania,,,,,,,,The Witch & The 66 Mushrooms,,,,,,,,
Reigns: Beyond,iOS,06/11/2020,NA,Devolver Digital,Nerial,Reigns,Card Game,,,,,Reigns: Beyond,,,,,,,,,,,
Chicken Police: Paint it RED!,PC,05/11/2020,NA,HandyGames,The Wild Gentlemen,,Visual Novel,,,,Chicken Police - Paint it RED!,Chicken Police: Paint it Red!,,,,,,,,,,,Chicken Police - Paint it RED!
Möbius Front '83,PC,05/11/2020,NA,Zachtronics,Zachtronics,,Turn-Based Tactics,,,,,Möbius Front '83,,,Möbius Front '83,,,,,,,,
What Comes After,PC,05/11/2020,NA,Rolling Glory Jam,Rolling Glory Jam,,Adventure,,,,,What Comes After,,,What Comes After,,,,,,,,
Kosmokrats,PC,05/11/2020,NA,Modern Wolf,Pixel Delusion,,Adventure,,,,Kosmokrats,,,,,,,,,,,,
The Last Show of Mr. Chardish,PC,05/11/2020,NA,Anshar Publishing,Punk Notion,,Action Adventure,,,,The Last Show of Mr. Chardish,,,,The Last Show of Mr. Chardish,,,,,,,,
Bakugan: Champions of Vestroia,Nintendo Switch,03/11/2020,NA,Warner Bros. Interactive Entertainment,WayForward Technologies,Bakugan,Action RPG,,,,Bakugan: Champions of Vestroia,Bakugan: Champions of Vestroia,,,Bakugan: Champions of Vestroia,,,Bakugan: Champions of Vestroia,,,,,
Demonizer,PC,30/10/2020,NA,Iori Branford,Iori Branford,,Scrolling Shooter,,,,,Demonizer,,,Demonizer,,,,,,,,
Pixel Puzzle Makeout League,PC,30/10/2020,NA,Skymap Games,Rude Ghost,,Puzzle,,,,,Pixel Puzzle Makeout League,,,Pixel Puzzle Makeout League,,,,,,,,
White Day VR: Courage Test,PC,30/10/2020,NA,PQube,Sonnori Corp,White Day,Survival Horror,,,,,,,,,,,,,,,,
The Dark Pictures Anthology: Little Hope,PlayStation 4,30/10/2020,NA,Bandai Namco Entertainment,Supermassive Games,The Dark Pictures Anthology,Survival Horror,,,,The Dark Pictures Anthology: Little Hope,The Dark Pictures Anthology: Little Hope,,,,,,Dark Pictures Anthology: Little Hope,,The Dark Pictures Anthology: Little Hope,,,
Kamen Rider: Memory of Heroez,Nintendo Switch,29/10/2020,AS,Bandai Namco Games,Natsume Atari,Kamen Rider,Action RPG,,,,,Kamen Rider: Memory of Heroez,,,Kamen Rider: Memory of Heroez,,,,,,,,
Stirring Abyss,PC,29/10/2020,NA,Slitherine Ltd.,Sleepy Sentry,,Turn-Based Strategy,,,,Stirring Abyss,Stirring Abyss,,,Stirring Abyss,,,,,,,,
Visage,PC,29/10/2020,NA,SadSquare Studio,SadSquare Studio,,Survival Horror,,,,Visage,Visage,,,Visage,,,,,,,,
No More Heroes,Nintendo Switch,28/10/2020,NA,Xseed Games,Grasshopper Manufacture,No More Heroes,Hack-and-Slash,,,,No More Heroes,No More Heroes,,,No More Heroes,,,No More Heroes,,,,,
No More Heroes 2: Desperate Struggle,Nintendo Switch,28/10/2020,NA,Xseed Games,Grasshopper Manufacture,No More Heroes,Hack-and-Slash,,,,No More Heroes 2: Desperate Struggle,No More Heroes 2: Desperate Struggle,,,No More Heroes 2: Desperate Struggle,,,No More Heroes 2: Desperate Struggle,,,,,
Part Time UFO,Nintendo Switch,28/10/2020,NA,Nintendo,HAL Laboratory,,Puzzle,,,,Part Time UFO,Part Time UFO,,,Part Time UFO,,,,,Part Time UFO,,,
Carto,PC,27/10/2020,NA,Humble Games,Sunhead Games,,Puzzle,,,,Carto,Carto,,,Carto,,,,,,,,
Ghostrunner,PC,27/10/2020,NA,505 Games,One More Level,Ghostrunner,Action Platformer,,,,Ghostrunner,Ghostrunner,,,,,,,,,,,
The Legend of Heroes: Trails of Cold Steel IV,PlayStation 4,27/10/2020,NA,NIS America,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,The Legend of Heroes: Trails of Cold Steel IV - The End of Saga,,,,The Legend of Heroes: Trails of Cold Steel IV,,,Legend of Heroes: Trails of Cold Steel IV [Frontline Edition],,,,,
Transformers: Battlegrounds,Nintendo Switch,23/10/2020,NA,Outright Games,Coatsink Software,Transformers,Turn-Based Tactics,,,,Transformers: Battlegrounds,Transformers: Battlegrounds,,,Transformers: Battlegrounds,,,Transformers Battlegrounds,,TRANSFORMERS: BATTLEGROUNDS,,,
Penko Park,PC,23/10/2020,NA,Ghostbutter,Ghostbutter,,Adventure,,,,,,,,Penko Park,,,,,,,,
Torchlight III,Nintendo Switch,22/10/2020,NA,Perfect World Entertainment,Echtra Games,Torchlight,Action RPG,,,,Torchlight III,,,,Torchlight III,,,,,Torchlight III,,,
Disc Room,PC,22/10/2020,NA,Devolver Digital,"Terri, Does, Kitty, JW",,Action,,,,Disc Room,Disc Room,,,Disc Room,,,,,,,,
ScourgeBringer,PC,21/10/2020,NA,Dear Villagers,Flying Oak Games,,Action Platformer,,,,ScourgeBringer,ScourgeBringer,,,ScourgeBringer,,,,,,,,
Manifold Garden,PC,20/10/2020,NA,William Chyr Studio,William Chyr Studio,,Adventure,,,,Manifold Garden,Manifold Garden,,,Manifold Garden,,,,,,,,
Crown Trick,PC,16/10/2020,NA,Team17,NEXT Studios,,Roguelike,,,,Crown Trick,Crown Trick,,,Crown Trick,,,,,,,,
Cloudpunk,Nintendo Switch,15/10/2020,EU,Maple Whispering Limited,Ion Lands,,Adventure,,,,Cloudpunk,Cloudpunk,,,Cloudpunk,,,Cloudpunk,,,,,
Batbarian: Testament of the Primordials,PC,15/10/2020,NA,Dangen Entertainment,Unspeakable Pixels,,Metroidvania,,,,Batbarian: Testament of the Primordials,Batbarian: Testament of the Primordials,,,Batbarian: Testament of the Primordials,,,,,,,,
Lucifer Within Us,PC,15/10/2020,NA,Kitfox Games,Kitfox Games,,Adventure,,,,Lucifer Within Us,Lucifer Within Us,,,Lucifer Within Us,,,,,,,,
Raji: An Ancient Epic,PC,15/10/2020,NA,Super.com,Nodding Heads Games,,Action Adventure,,,,Raji: An Ancient Epic,Raji: An Ancient Epic,,,Raji: An Ancient Epic,,,,,,,,
Ring of Pain,PC,15/10/2020,NA,Humble Games,Simon Boxer,,Card Game,,,,Ring of Pain,Ring of Pain,,,Ring of Pain,,,,,,,,
Space Crew: Legendary Edition,PC,15/10/2020,NA,Curve Games,Runner Duck,Bomber Crew,Simulation,,,,Space Crew,,,,Space Crew,,,,,,,,
Tears of Avia,PC,15/10/2020,NA,PQube,CooCooSqueaky Games,,Strategy RPG,,,,Tears of Avia,,,,Tears of Avia,,,,,,,,
"Cook, Serve, Delicious! 3?!",PC,14/10/2020,NA,Vertigo Gaming,Vertigo Gaming,"Cook, Serve, Delicious",Simulation,,,,,"Cook, Serve, Delicious! 3?!",,,"Cook, Serve, Delicious! 3?!",,,,,"Cook, Serve, Delicious! 3?!",,,
Re:Turn: One Way Trip,PC,14/10/2020,NA,Green Man Gaming Publishing,Red Ego Games,Re:Turn,Survival Horror,,,,Re:Turn - One Way Trip,,,,,,,,,,,,
Onee Chanbara Origin,PlayStation 4,14/10/2020,AS,D3 Publisher,Tamsoft,Onechanbara,Hack-and-Slash,,,,,,,,Onee Chanbara Origin,,,Onee Chanbara ORIGIN,,,,,
Prinny 1•2: Exploded and Reloaded,Nintendo Switch,13/10/2020,NA,Nippon Ichi Software,Nippon Ichi Software,Prinny,Action Platformer,,,,,Prinny 1•2: Exploded and Reloaded,,,,,,Prinny 1•2: Exploded and Reloaded [Just Desserts Edition],,,,,
Robotics;Notes Double Pack,Nintendo Switch,13/10/2020,NA,Spike Chunsoft,MAGES. Inc.,Science Adventure,Visual Novel,,,,,,,,,,,,,,,,
Remothered: Broken Porcelain,PC,13/10/2020,NA,Modus Games,Stormind Games,Remothered,Survival Horror,,,,Remothered: Broken Porcelain,Remothered: Broken Porcelain,,,Remothered: Broken Porcelain,,,,,,,,
Cardpocalypse,PC,12/10/2020,NA,Versus Evil,Gambrinous,,Card Game,,,,,Cardpocalypse,,,Cardpocalypse,,,,,,,,
Lycanthorn,PC,10/10/2020,NA,Scumhead,Scumhead,Lycanthorn,First-Person Shooter,,,,,,,,Lycanthorn,,,,,,,,
Ben 10: Power Trip,PC,09/10/2020,NA,Outright Games,PHL Collective,Ben 10,Action Adventure,,,,,Ben 10: Power Trip,,,Ben 10: Power Trip,,,,,Ben 10: Power Trip,,,
Ghost of a Tale,Nintendo Switch,08/10/2020,EU,SeithCG,SeithCG,,Action RPG,,,,,Ghost of a Tale,,,Ghost of a Tale,,,Ghost of a Tale,,,,,
Ikenfell,PC,08/10/2020,NA,Humble Games,Happy Ray Games,,Strategy RPG,,,,Ikenfell,Ikenfell,,,Ikenfell,,,,,,,,
Crash Bandicoot 4: It's About Time,PlayStation 4,02/10/2020,NA,Activision,Toys for Bob,Crash Bandicoot,3D Platformer,,,,Crash Bandicoot 4: It's About Time,Crash Bandicoot 4: It's About Time,,,,,,Crash Bandicoot 4: It's About Time,,,,,
Ys Origin,Nintendo Switch,01/10/2020,NA,DotEmu,Nihon Falcom,Ys,Action RPG,,,,Ys Origin,Ys Origin,,,Ys Origin,,,Ys Origin,,,,,
Electronic Super Joy 2,PlayStation 4,30/09/2020,NA,Severed Press,Michael Todd Games,Electronic Super Joy,Side-Scrolling Platformer,,,,,,,,,,,Electronic Super Joy 2,,,,,
Spelunky 2,PC,29/09/2020,NA,Mossmouth,Mossmouth,Spelunky,Roguelike,,,,Spelunky 2,Spelunky 2,,,Spelunky 2,,,,,Spelunky 2,,,
The Walking Dead Onslaught,PC,29/09/2020,NA,Survios,Survios,The Walking Dead,First-Person Shooter,,,,The Walking Dead Onslaught,,,,The Walking Dead Onslaught,,,,,,,,
Until You Fall,PlayStation 4,29/09/2020,NA,Schell Games,Schell Games,,Hack-and-Slash,,,,Until You Fall,Until You Fall,,,Until You Fall,,,,,,,,
Genshin Impact,PlayStation 4,28/09/2020,NA,miHoYo,miHoYo,,Action RPG,,,,Genshin Impact,Genshin Impact,,,Genshin Impact,,,,,Genshin Impact,,,
Janosik,PC,25/09/2020,NA,Retrovibe,Onix Games,Janosik,Action Platformer,,,,,Janosik,,,Janosik,,,,,,,,
USA Zombie Apocalypse,Vectrex,25/09/2020,NA,AR Vectrex,AR Vectrex,,Rail Shooter,,,,,,,,,,,,,,,,
Cyber Hook,PC,24/09/2020,NA,Graffiti Games,Blazing Stick,,3D Platformer,,,,,Cyber Hook,,,Cyber Hook,,,,,,,,
Ginga Force,PC,24/09/2020,NA,Rising Star Games,Qute,Seventia,Scrolling Shooter,,,,,Ginga Force,,,Ginga Force,,,,,,,,
Going Under,PC,24/09/2020,NA,Team17,Aggro Crab,,Roguelike,,,,Going Under,Going Under,,,Going Under,,,,,,,,
Serious Sam 4,PC,24/09/2020,NA,Devolver Digital,Croteam,Serious Sam,First-Person Shooter,,,,Serious Sam 4: Planet Badass,Serious Sam 4,,,Serious Sam 4,,,,,Serious Sam 4,,,
Kirby Fighters 2,Nintendo Switch,23/09/2020,NA,Nintendo,HAL Laboratory,Kirby,Fighting,,,,Kirby Fighters 2,Kirby Fighters 2,,,Kirby Fighters 2,,,,,,,,
Embracelet,PC,23/09/2020,NA,machineboy,Mattis Folkestad,,Adventure,,,,Embracelet,Embracelet,,,Embracelet,,,,,,,,
Shrine II,PC,22/09/2020,NA,Scumhead,Scumhead,Shrine,First-Person Shooter,,,,,Shrine II,,,Shrine II,,,,,,,,
When the Past Was Around,PC,22/09/2020,NA,Toge Productions,Mojiken,,Adventure,,,,When The Past Was Around,When the Past Was Around,,,When The Past Was Around,,,,,,,,
13 Sentinels: Aegis Rim,PlayStation 4,22/09/2020,NA,Atlus USA,Vanillaware,,Real-Time Strategy,,,,13 Sentinels: Aegis Rim,13 Sentinels: Aegis Rim,,,13 Sentinels: Aegis Rim,,13 Sentinels: Aegis Rim,13 Sentinels: Aegis Rim,,,,,
Hades,Nintendo Switch,17/09/2020,NA,Supergiant Games,Supergiant Games,,Roguelike,,,,Hades,Hades,,,,,,Hades,,,,,
Moero Crystal H,Nintendo Switch,17/09/2020,AS,EastAsiaSoft,Idea Factory,Genkai Tokki,Dungeon Crawler,,,,,Moero Crystal H,,,Moero Crystal H,,,Moero Crystal H,,,,,
Super Punch Patrol,Nintendo Switch,17/09/2020,NA,Hörberg Productions,Hörberg Productions,,Beat 'em Up,,,,Super Punch Patrol,Super Punch Patrol,,,Super Punch Patrol,,,,,Super Punch Patrol,,,
Slap City,PC,17/09/2020,NA,Ludosity,Ludosity,,Fighting,,,,,Slap City,,,Slap City,,,,,,,,
The Dungeon of Naheulbeuk: The Amulet of Chaos,PC,17/09/2020,NA,Dear Villagers,Artefacts Studio,The Dungeon of Naheulbeuk,Turn-Based Tactics,,,,The Dungeon of Naheulbeuk: The Amulet of Chaos,,,,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,,,,,,,,
Welcome to Elk,PC,17/09/2020,NA,Akupara Games,Triple Topping,,Adventure,,,,Welcome to Elk,,,,Welcome to Elk,,,,,,,,
BPM: Bullets Per Minute,PC,15/09/2020,NA,Awe Interactive,Awe Interactive,,Rhythm,,,,BPM: Bullets Per Minute,BPM: Bullets Per Minute,,,BPM: Bullets Per Minute,,,,,,,,
Inertial Drift,PC,11/09/2020,NA,PQube,Level 91 Entertainment,,Racing,,,,Inertial Drift,,,,Inertial Drift,,,,,,,,
As Far As The Eye,PC,10/09/2020,NA,Goblinz Publishing,Unexpected,,Simulation,,,,As Far As The Eye,As Far as the Eye,,,As Far As The Eye,,,,,,,,
Hotshot Racing,PC,10/09/2020,NA,Curve Digital,Sumo Digital,,Racing,,,,Hotshot Racing,Hotshot Racing,,,Hotshot Racing,,,,,,,,
Tell Me Why,PC,10/09/2020,NA,Xbox Game Studios,Dontnod Entertainment,,Adventure,,,,Tell Me Why,Tell Me Why,,,Tell Me Why,,,,,,,,
Vampire: The Masquerade - Shadows of New York,PC,10/09/2020,NA,Draw Distance,Draw Distance,Vampire: The Masquerade,Adventure,,,,Vampire: The Masquerade - Shadows of New York,Vampire: The Masquerade - Shadows of New York,,,Vampire: The Masquerade - Shadows of New York,,,,,,,,Vampire: The Masquerade - Shadows of New York
Kingdoms of Amalur: Re-Reckoning,PC,08/09/2020,NA,THQ Nordic,Kaiko,Kingdoms of Amalur,Action RPG,,,,Kingdoms of Amalur: Re-Reckoning,Kingdoms of Amalur: Re-Reckoning,,,Kingdoms of Amalur: Re-Reckoning,,,,,,,,
Necromunda: Underhive Wars,PC,07/09/2020,NA,Focus Home Interactive,Rogue Factor,Warhammer,Turn-Based Tactics,,,,Necromunda: Underhive Wars,,,,Necromunda: Underhive Wars,,,,,,,,
Tony Hawk's Pro Skater 1 + 2,PlayStation 4,04/09/2020,NA,Activision,Vicarious Visions,Tony Hawk's Pro Skater,Sports,,,,Tony Hawk's Pro Skater 1 + 2,Tony Hawk's Pro Skater 1 + 2,,,,,,Tony Hawk's Pro Skater 1 + 2,,,,,
Spinch,PC,03/09/2020,NA,Akupara Games,Queen Bee Games,,Side-Scrolling Platformer,,,,,Spinch,,,Spinch,,,,,,,,
Ary and the Secret of Seasons,Nintendo Switch,01/09/2020,NA,Modus Games,Fishing Cactus,,Action Adventure,,,,Ary and the Secret of Seasons,Ary and the Secret of Seasons,,,Ary and the Secret of Seasons,,,Ary and the Secret of Seasons,,,,,
Crusader Kings III,PC,01/09/2020,NA,Paradox Interactive,Paradox Interactive,Crusader Kings,Grand Strategy,,,,Crusader Kings III,Crusader Kings III,,,Crusader Kings III,,Crusader Kings III,,,,,,
